전통주명,도수,규격,주원료,제조사
예천주복 만월40,40,350ml,"복분자증류원액, 복분자과즙, 정제수",착한농부
막시모 40,40,500ml,"국내산 오미자 증류원액, 국내산 오미자 원액, 정제수",착한농부
참주가 동해밤바다,17.2,360ml,"증류원액[쌀(국내산), 입국(국내산), 효모], 정제수, 주정, 매실(국내산), 과당, 효소처리스테비아, 에리스라톨, L-아스파라간산(영양강화제)",참주가
참주가 청화랑,17,360ml,"증류원액[쌀(국내산), 블루베리(국내산), 입국(국내산), 효모], 정제수, 주정, 과당, 효소처리스테비아, 에리스리톨, L-아스파라간산(영양강화제)",참주가
참주가 서해밤바다,17.1,360ml,"증류원액[쌀(국내산), 입국(국내산), 효모], 정제수, 주정, 매실(국내산), 과당, 효소처리스테비아, 에리스라톨, L-아스파라간산(영양강화제)",참주가
감그린 아이스와인,10,375ml,감(국내산),청도감와인
감그린 스페셜,12,750ml,감(국내산),청도감와인
감그린 레귤러,12,750ml,감(국내산),청도감와인
편백숲 산소막걸리 스파클링,6.8,940ml,"찹쌀, 맵쌀, 누룩",청산녹수
편백숲 산소막걸리 딸기 스파클링,6.8,940ml,"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수
편백숲 산소막걸리 순수령 8%,8,750ml,"찹쌀, 맵쌀, 누룩",청산녹수
편백숲 산소막걸리 순수령,5.8,750ml,"찹쌀, 맵쌀, 누룩",청산녹수
편백숲 산소막걸리,5.2,750ml,"쌀, 사과농축액,누룩,올리고당,아스파탐",청산녹수
생탁주,6,750ml,"쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",청산녹수
꿀막걸리,8,750ml,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",청산녹수
사미인주,8,750ml,"유기농 햅쌀, 벌꿀",청산녹수
G12 골디락스,12,500ml,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",청산녹수
52C,17.5,500ml,"정제수, 주정, 증류식소주원액, 오이",청산녹수
주산지 막걸리,6,750ml,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 고과당, 물엿, 아스파탐, 삭카린나트륨, 정제수",청송양조장
청양둔송구기주,16,700ml,"쌀, 누룩, 구기자, 감초, 두충껍질",청양둔송구기주
유자향주,6,750ml,"쌀(국내산), 유자(고흥산), 아스파탐",청정영농조합법인
미인약주,15,500ml,"찹쌀, 누룩, 정제수",최행숙전통주가
아황주,17,500ml,"찹쌀, 멥쌀, 누룩, 정제수",최행숙전통주가
미인탁주,10,500ml,"찹쌀, 누룩, 정제수",최행숙전통주가
대통대잎술,15,700ml,"쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",추성고을
르깔롱,16,500ml,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라",추성고을
티나(TINA),16,750ml,딸기(국내산),추성고을
추성주,25,350ml,"국내산 쌀, 국내산 한약재",추성고을
타미앙스,40,400ml,"국내산 쌀, 국내산 한약재",추성고을
대통주,11,360ml,"국내산 쌀, 국내산 매실농축액, 국내산 대나무잎",추성고을
담양 죽력고,25,350ml,"정제수, 국내산 쌀, 누룩, 죽력, 계피, 석창포, 생강, 효모",추성고을
대잎술,12,300ml,"쌀, 누룩, 댓잎, 솔잎, 진피, 갈근, 오미자, 구기자, 죽력 등",추성고을
순향주,15,375ml,"쌀, 누룩, 정제수",추연당
백년향,10,500ml,"쌀,누룩,정제수",추연당
소여강,42,375ml,"쌀(경기미), 누룩(국내산), 물(정제수)",추연당
소여강 25%,25,375ml,"쌀증류주원액(국내 여주쌀), 정제수",추연당
석탄주 탁주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
방문주 탁주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
방문주 약주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
두리향,43,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
석탄주 약주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주(전주가양주연구소)
"코이버펑크, 머스캣 베일리 에이 2017",12.5,750ml,머스캣 벨일리 베이 포도품종 100% (경북 영천),코이버펑크
"코이버펑크, 카베르네 소비뇽 2019",12.5,750ml,카베르네 소비뇽 포도품종 100% (경북 영천),코이버펑크
"코이버펑크, 샤르도네 세미용 2018",11.5,750ml,"샤르도네 포도품종, 세미용 포도품종, 실바너 포도품종",코이버펑크
탁112클래식,12,750ml,"정제수, 찹쌀, 국, 효모, 밀함유",탁브루
송명섭 막걸리,6,500ml,"국내산쌀, 곡자, 정제수",태인합동주조장
죽력고,32,700ml,"국내산쌀, 죽력, 누룩, 정제수",태인합동주조장
손가네 태종대 개똥쑥생막걸리,6,750ml,"정제수, 쌀, 태종대개똥쑥추출물, 입국, 누룩, 정제효소, 이소말토올리고당, 구연산, 아스파탐, 효모",태종대양조
라이코펜 토마토와인,12,"350ml, 500ml",국내산 토마토,토마토와인주식회사
녹고의 눈물,16,500ml,섬오가피,토향
팔팔막걸리,6,750ml,"정제수, 쌀(김포산, 김포금쌀), 국, 산도조절제, 효모, 밀함유",팔팔양조장
풍정사계 추(秋),12,500ml,풍정사계 추(秋),풍정사계
풍정사계 춘(春),15,500ml,"찹쌀, 향온곡",풍정사계
풍정사계 동(冬),"25, 42",375ml,"찹쌀, 향온곡",풍정사계
매아랑,10.7,750ml,국내산 매실,하동매실 영농조합법인
산머루와인 달콤한 스위트,10.5,750ml,산머루,하미앙 와인밸리
산머루와인 깊은맛 드라이,12,750ml,산머루,하미앙 와인밸리
오크와인,12,750ml,산머루,하미앙 와인밸리
2018년산 하미앙 오크와인,12,750ml,국내산 산머루,하미앙 와인밸리
2016년산 하미앙 드라이,12,"375ml, 750ml",국내산 산머루,하미앙 와인밸리
2016년산 하미앙 스위트,10.5,"375ml, 750ml",국내산 산머루,하미앙 와인밸리
하향주,17,750ml,찹쌀,하향주가
나루 생 막걸리 6도,6,935ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조
나루 생 막걸리 11.5도,11.5,500ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조
김수한무,39,375ml,"수수(국내산), 누룩(국내산), 효모(국내산), 정제수",한국고량주 농업회사법인
계룡산 산삼주 금수강산 21%,21,740ml,"산양산삼, 정제수, 주정",한국산삼
계룡산 산삼주 금수강산 40%,40,740ml,"산양산삼, 정제수, 주정",한국산삼
헤베,9,330ml,사과와인(사과과즙 100%),한국애플리즈
스타베리오디,12,500ml,양조용포도(영천),한국와인
뱅꼬레 아이스와인,12,375ml,양조용포도(영천),한국와인
뱅꼬레 로제와인,11.5,375ml,양조용포도(영천),한국와인
뱅꼬레 레드와인,12,375ml,양조용포도(영천),한국와인
뱅꼬레 화이트와인,11,375ml,양조용포도(경북 영천),한국와인
뱅꼬레 더감,12,750ml/375ml,"감, 효모",한국와인
불소곡주,43,700ml,"찹쌀, 국내산 멥쌀",한산소곡주
한산소곡주,18,"700ml, 1800ml","찹쌀, 국내산 멥쌀",한산소곡주
일오백화이트,18,700ml,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 야국, 메주콩, 생강, 홍고추",한산소곡주
일오백골드,43,700ml,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 꿀, 들국화, 생지황, 메주콩, 홍고추",한산소곡주
불소주,41,500ml,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수",한산소곡주
백송,16,500ml,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수",한산소곡주
일오백블루,43,700ml,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 꿀, 들국화, 생지황, 메주콩, 생강, 홍고추",한산소곡주
한산소곡주 생주,16,"750ml, 1.5L, 1.8L","멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수",한산소곡주
예담은 한산소곡주,16,750ml,"찹쌀, 멥쌀, 누룩, 대두, 구절초",한산예담은소곡주
한산예담은 한산소곡화주,41,500ml,"찹쌀, 멥쌀, 누룩, 대두, 구절초",한산예담은소곡주
아홉쌀,9,500ml,"정제수, 멥쌀(국내산), 국, 효모",한아양조
일곱쌀,7,500ml,"정제수, 멥쌀(국내산), 국, 효모",한아양조
열두쌀,12,500ml,"정제수, 멥쌀(국내산), 국, 효모",한아양조
한영석 하향주,13.8,375ml,"찹쌀, 정제수, 한영석 누룩(향미주국)",한영석의발효연구소
안성맞춤 생막걸리,6,1000ml,"국내산 쌀, 누룩, 효모, 젖산, 정제효소, 정제수",한주양조
한주,35,"360ml, 500ml","국내산 쌀, 밀누룩, 정제수",한주양조
백구막걸리,8,330ml,"쌀. 설향곡(누룩), 시나몬(스리랑카), 벌꿀, 둥글레, 감초",한통술양조장
연꽃담은술,8,850ml,"둥굴레(국내산),개똥쑥(국내산),감초(국내산),향온곡누룩(녹두,보리,밀(국내산)), 사카린나트륨제제(포도당(70%),사카린나트륨(30%)(감미료))",한통술이노베이션주식회사
천지향 증류주,40,500ml,국내산 복분자,함평천지복분자(영)
해남진양주,16,375ml,국내산 찹쌀(해남),해남진양주
세인트하우스 모과와인,12,500ml,모과 80%,해미읍성딸기와인
세인트하우스 살구와인,12,500ml,살구 80%,해미읍성딸기와인
해창 막걸리 9도,9,900ml,"햅쌀, 찹쌀, 물, 누룩",해창주조장
냥이탁주 9도,9,"350ml, 500ml","정제수, 쌀(국내산), 찰보리(국내산), 찰수수(국내산), 벌꿀(국내산), 오미자(국내산), 송순(국내산), 누룩, 개량누룩, 밀함유",행주산성주가
냥이탁주 fresh,5,350ml,"정제수, 쌀(국내산), 찰보리(국내산), 찰수수(국내산), 벌꿀(국내산), 오미자(국내산), 송순(국내산), 누룩, 개량누룩, 밀함유",행주산성주가
대관령 복분자주,16,400ml,국내산 복분자,홍지원
화백,25,500ml,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수",화백
산천어막걸리,6,750ml,"정제수,팽화미(쌀/외국산),입국(쌀),국(밀),설탕,정제효소제, 효모,아스파탐(감미료,페닐알라닌 함유)",화천주가
황금보리 증류주 17,17,375ml,"보리(국내산) 39.9%, 누룩(국내산)3.3%, 효소(액화효소), 효모(향미증진제), 정제수, 과당, 구연산(산도조절제)",황금보리(유)농업회사법인
황금보리 증류주 25,25,375ml,"정제수, 보리(국내산) 40.05%, 누룩, 효소(액화효소), 효모, 과당, 구연산(산도조절제)",황금보리(유)농업회사법인
황금보리 증류주 40,40,375ml,"보리(국내산) 40.27%, 누룩, 효소(액화효소), 효모(향미증진제), 정제수, 과당, 구연산(산도조절제)",황금보리(유)농업회사법인
