상품명,설명,맛 평가,재료,레시피
미도리사워,"메론 리큐르로 유명한 '미도리'로 만드는 대표적인 칵테일, 미도리 사워! 푸릇푸릇한 색감에 딱 어울리는 상큼한 맛으로 유명한 칵테일이지만, 이름을 미도리 '샤워'로 잘못 부르는 경우도 많죠. 스윗앤사워 믹스가 들어가 새콤한 맛을 표현하는 칵테일이기 때문에 '사워(sour)'가 맞습니다!
 일본 주류 하면 빠질 수 없는 기업, '산토리'에서 1964년에 메론 리큐르가 다른 이름으로 처음 출시되었는데요! 미국에서도 큰 인기를 받게되자 1978년에 일본어로 초록색을 뜻하는 '미도리'로 이름을 바꾸어 본격적으로 유명세를 타기 시작했습니다. 공식 홈페이지에서는 미도리를 사용한 다양한 칵테일 레시피도 찾아볼 수 있답니다.","도수 ★☆☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ★☆☆
얼음 ★★☆","*미도리 공식 홈페이지 레시피
미도리 리큐르 1 oz
사워믹스 1oz
(+) 가니쉬: 레몬 웨지
  Tip: 국내 칵테일 바에서는 탄산수를 추가하는 경우가 많음!","1. 글라스에 얼음을 채운다.
2. 미도리와 스윗앤사워 믹스를 따른다.
3. 가볍게 저어주고 레몬으로 장식해준다.
  Tip: 쉐이커로 재료를 한번 쉐이킹해주면 더 맛있음, 탄산수를 넣는다면 조금 더 큰 글라스를 사용하여 마지막에 2oz 추가"
카미카제," 카미카제(Kamikaze)는 보드카를 기반으로 한 칵테일로, 이름과는 달리 미국 펍에서 처음 만들어졌으며 일본과 관련된 술은 전혀 사용되지 않는답니다. 제 2차 세계대전에서 실제로 일본군의 자살 특공대로 알려졌던 '카미카제'는 무시무시한 위력을 가졌는데, 당시 미군들 사이에서 카미카제 칵테일의 맛이 ""카미카제처럼 강렬하다!""는 데서 유명해졌다고 해요.
 카미카제는 산뜻한 레몬 주스와 약간의 단맛이 어우러져 상큼한 맛을 느낄 수 있는 칵테일이에요. 도수가 높은 편이라 약간의 알콜 향이 느껴지기도 하지만, 산미가 그 향을 중화시켜줘서 색다른 매력을 만들어주죠. 시원하고 상쾌한 맛이 여름철에 잘 어울리는 선택이랍니다!","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","보드카  1oz
트리플섹  1/2oz
라임 주스  1/2oz
(+) 가니쉬: 라임 조각","1. 칵테일 글라스에 얼음을 채워 미리 칠링해준다.
2. 셰이커에 재료를 차례대로 넣고 강하게 흔들어 준다.
3. 글라스의 얼음을 비우고 셰이커의 내용물을 얼음 없이 따른다.
4. 라임 조각으로 장식해준다.
Tip: 개인적으로 동그란 단면으로 자른 '라임 슬라이스'가 가니쉬가 제일 예쁘닷..!"
XYZ,"알파벳의 마지막 글자들 XZY! 이 칵테일의 이름은 ""알파벳의 마지막"", 즉 ""이 이상의 칵테일은 없다"", ""혹은 이것이 마지막 잔이다"", ""이제 제발 집에 가라""등 다양한 의미로 해석되는데요, 영업 종료 시간을 앞두고 남아있는 손님을 쫒아내기 위해 바텐더가 이 칵테일을 서비스로 내 오는 것이 유행하면서 이런 특이한 이름이 붙었다는 설이 있다고 합니다.
 XYZ의 레시피는 생각보다 굉장히 간단한 편인데요, 그만큼 다양한 변형이 가능하다고도 하죠. 기주인 럼 대신 진을 사용하면 화이트 레이디, 보드카를 사용하면 발랄라이카, 브랜디를 사용하면 사이드카가 된다고 하니, 그 이름처럼 '칵테일의 끝판왕' 답기도 하네요!","도수 ★★★
단맛 ★★☆
신맛 ★★★
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","화이트 럼 - 1oz
코앵트로 - 1/2oz
레몬 주스 - 1/2oz
*Tip: 코앵트로는 오렌지 리큐르예요~ 트리플섹, 블루큐라소 모두 오렌지 리큐르 종류로 볼 수 있죠!","1. 글라스에 얼음을 채워 미리 칠링해준다.
2. 셰이커에 얼음과 재료를 차례대로 넣고 흔들어 준다.
3. 글라스와 얼음을 비우고 셰이커의 얼음을 걸러 칵테일을 따른다."
네그로니,"여느 칵테일과 마찬가지로 네그로니의 유래에 대해서는 명확한 답이 없지만, 가장 유력한 가설 중 하나는 1919년에 '카밀로 네그로니' 백작에 의해 만들어졌다는 것입니다. 이탈리아 피렌체라는 도시에서 그는 한 바텐더에게 '아메리카노'라는 칵테일을 주문하며 탄산수 대신 진을 넣어달라고 요구한 것이 네그로니 레시피가 되었다고 해요.
 네그로니의 재료로 들어가는 '캄파리'라는 술은 특히나 아름다운 붉은빛을 자랑하는데요! 투명한 루비 같은 색감에 오렌지와 꽃향이 어우러진 달짝지근한 향 뒤에는 캄파리만의 독보적인 씁쓸한 맛에 호불호가 많이 갈리는 술이기도 하답니다.","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","[조주기능사 레시피]
드라이 진  3/4 oz
스위트 베르무트  3/4 oz
캄파리  3/4 oz
(+) 가니쉬: 레몬 필 트위스트
Tip: IBA는 재료의 양을 모두 1oz로 맞추고 오렌지 조각으로 장식!","1. 올드패션드 글라스에 얼음을 채워 칠링 시킨다.
2. 글라스에 모든 재료를 넣고 가볍게 저어준다.
3. 레몬 트위스트로 장식한다."
모킹버드,"'앵무새 죽이기'라는 소설을 아시나요? 놀랍게도 이 소설의 제목에 들어가는 '앵무새'라는 이름은 이 책이 한국에 출판되는 과정에서 '흉내지빠귀새 죽이기(To Kill a Mockingbird)'라는 원 제목에 들어가는 흉내지빠귀새, 즉 모킹버드를 한국인에게 친숙한 이름으로 번역하는 과정에서 생겨난 것이라고 하네요.
 코 끝을 스치는 민트 향과 쨍한 초록빛이 매력적인 이 칵테일은 이 소설 제목인 'To Kill a Mockingbird'의 발음을 비틀어 'Tequila Mockingbird(데킬라 모킹버드)'라고 부르기 시작하면서 생겨났다고 하는데요, 멕시코가 태생인 새 '모킹버드', 그리고 멕시코를 대표하는 술 '데킬라'를 베이스로 하는 이 칵테일의 특성을 살려 '모킹버드'라는 이름을 짓게 되었다고 하죠!","도수 ★★☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ☆☆☆","데킬라  1 oz
크렘 드 멘트 그린  1/2 oz
라임주스  1/2 oz","  1. 마티니 글라스에 얼음을 넣어 차갑게 칠링한다.
2.셰이커에 얼음과 모든 재료들을 넣고 흔든다.
3.얼음을 제외한 내용물을 빈 잔에 따른다."
갓파더,"갓파더의 이름은 너무나 유명한 대부 영화 시리즈에서 따온 것으로 알려져 있죠! 이 칵테일의 역사는 1970년대 후반 미국에서 시작되었는데요, 당시 미국에서 위스키를 좋아하는 사람들이 많았고 그들 중 일부가 아마레또를 첨가하여 새로운 칵테일을 만들어보려고 하면서 탄생한 레시피라고 합니다.
 갓파더는 진한 위스키와 달콤한 아몬드 향이 나는 아마레또가 섞여서 강한 인상을 주는 칵테일입니다. 얼음을 넣어 시원하게 즐기거나, 레몬 주스를 살짝 더해서 상큼한 맛으로 즐길 수도 있죠. 갓파더는 위스키를 좋아하는 분들이나, 강하고 묵직하면서도 달짝지근한 끝맛을 좋아하는 분들에게 추천해드리는 칵테일이에요!","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★★☆","위스키   1 + 1/4 oz
아마레또  1 + 1/4 oz
Tip: 용량과 비율은 기호에 따라 조율하시고 아마레또의 정석은 '디사론노', 이 제품을 사용하면 더욱 깊은 맛을 즐길 수 있어요!","1. 온더락 글라스에 얼음을 채워 칠링 시킨다.
2. 글라스에 두 재료를 넣고 가볍게 저어준다.
Tip: 가니쉬로 오렌지 트위스트 또는 시나몬 스틱을 넣어도 좋음. 오렌지는 상큼하게, 시나몬 스틱은 스파이시하게 맛을 돋워줄 수 있음!"
우우,"우우는 귀여운 이름 만큼이나 아주 상큼달달한 맛을 자랑하는 칵테일인데요! 뉴욕에 있던 '퍼스트 에디션 바'라는 칵테일바에서 처음 만들어졌으나, 제대로 이름이 알려진 계기는 1980년대에 복숭아 리큐르가 들어간 칵테일들이 크게 유행하기 시작했을 때라고 합니다.
 국내에서는 인지도가 그리 높지는 않은 편이지만, 미국에서는 굉장히 인기가 많은 칵테일이예요. 아마 그 이유는 재료가 단순하고 구하기 쉬우며, 복숭아와 크랜베리 맛이 어우러져 남녀노소 누구나 호불호 없이 맛있게 즐길 수 있기 때문이겠죠? 게다가 보드카도 적지 않게 들어가서 은은하게 알딸딸해지기 딱 좋은 도수로 강력 추천드립니다!","도수 ★★☆
단맛 ★★★
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","피치스냅스(또는 리큐르) 1oz
보드카 2oz
크렌베리 주스 4oz
가니쉬: 라임 웨지
Tip: 크렌베리 주스의 비율은 기호에 따라 조정하기!","1. 글라스에 얼음을 담아 칠링 시킨다.
2. 모든 재료를 넣고 가볍게 저어준다."
엘 디아블로,"디아블로는 스페인어로 악마라는 뜻이라고 해요. 무서운 이름과는 달리 의외로 상큼한 맛을 자랑하는 칵테일이랍니다. 특유의 붉은 빛이 악마를 연상시켜서 이런 이름이 붙었다고 하네요. 엘 디아블로의 매혹적인 색깔은 크렘 드 카시스가 들어가 만들어져요. 블랙커런트 혹은 카시스라고 불리는 까막까치밥 나무 열매가 주재료인 리큐르인데, 진한 단맛과 함께 느껴지는 떫은 맛이 특징이에요. 크렘 드 카시스만으로는 붉은 빛이 충분히 안 나온다! 싶으면 그레나딘 시럽을 조금 넣기도 해요.
 라임 주스와 과일 리큐르의 상큼한 단맛, 그리고 진저 에일의 톡 쏘는 탄산과 상쾌한 맛이 잘 어우러지는 칵테일이에요. 눈으로 한번 사로잡고 맛으로도 사로잡는 매력적인 칵테일이죠! 부담없이 술술 넘어가는 맛이지만 도수는 약간 부담스러울 수도 있어요(찡긋)","도수 ★★☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ★☆☆
얼음 ★★☆","데킬라 1 + 1/2oz
크렘 드 카시스 1/2oz
그레나딘 시럽 2ts
라임 주스 1/2oz
진저 비어 혹은 진저 에일 Fill Up
가니쉬: 라임 슬라이스 혹은 블랙베리","1. 하이볼 글라스에 얼음을 채워 칠링해준다.
2. 쉐이커에 얼음을 넣은 뒤, 진저 에일을 제외한 나머지 재료들을 차례대로 넣고 흔들어 준다.
3. 쉐이커 속 내용물을 얼음이 나오지 않도록 글라스에 따른다.
4. 진저비어 혹은 진저에일을 원하는 만큼 따른다.
5. 라임 슬라이스나 블랙베리로 가니쉬 해준다."
티라미수 칵테일,"혹시 티라미수 좋아하시나요? 그렇다면 이 칵테일을 강력 추천드려요. 부드럽고 달달한 크림치즈에 쌉싸름한 코코아 파우더가 어우러진 맛, 이름처럼 티라미수가 그대로 칵테일이 된 듯한 맛이에요.
 정석처럼 여겨지는 대표적인 레시피가 있지는 않다 보니 다양한 버전의 레시피가 있어요. 치즈폼을 올리는 대신 크림치즈를 넣기도 하고, 계란 노른자 말고 베일리스 밀크를 넣어 부드러움을 더해주기도 하고요. 어떤 레시피든 한 모금 마시는 순간 디저트를 먹는 듯한 기분이 들 거예요. 역시 티라미수는 사랑이죠^__^","도수 ★☆☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★☆☆","보드카  1 + 1/2 oz
아마레또  3/4 oz
오르쟈 시럽  3/4 oz
에스프레소  3/4 oz
계란 노른자 - 1개
코코아 파우더 - 2 바 스푼
치즈 폼(혹은 마스카포네 치즈)","1. 재료들을 모두 섞은 후 얼음을 채워놓은 온더락 글라스에 붓는다.
2. 위를 치즈폼으로 덮고 코코아 파우더를 뿌린다."
시브리즈,"바닷바람이라는 낭만적인 이름을 가진 이 칵테일은 1920년대에 탄생했다고 해요. 당시에는 진과 그레나딘 시럽을 쓰는 등 지금과는 레시피가 많이 달랐는데, 시간이 흘러 크랜베리와 자몽주스, 보드카를 섞는 레시피가 큰 인기를 끌어 지금까지 이어지고 있어요.
 시브리즈는 영화 프렌치 키스에서 주인공이 해변가에서 마신 칵테일로도 유명한데요, 특유의 상큼함과 살짝 떫은 끝맛이 바닷바람 부는 해변가와 잘 어울리는 것 같지 않나요? 자몽 주스 대신 파인애플 주스를 넣으면 베이 브리즈(혹은 하와이안 브리즈)가 된답니다.","도수 ★☆☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","보드카 - 1 1/3oz(40ml)
크랜베리 주스 - 4oz(120ml)
자몽 주스 - 1oz(30ml)","[IBA 레시피]
1. 얼음을 채운 하이볼 글라스에 모든 재료를 넣어 섞는다.
2. 오렌지 제스트나 체리로 장식한다. "
바카디 칵테일,"유명한 주조업체 바카디를 아시나요?
이 회사와 이름이 같은 바카디 칵테일은 주조업체 '바카디'의 럼을 광고하기 위해 만들어진 칵테일입니다. 역사적으로는 쿠바에서 유래된 칵테일이며, 초기에는 그레나딘 시럽이 들어가지 않았지만 미국 금주법이 시행된 이후 그레나딘 시럽이 추가되어 지금의 레시피가 되었다고 합니다.
한 번은 이 칵테일에 바카디럼의 사용유무로 소송이 발생한 적이 있었고, 법원이 바카디 럼이 들어간 칵테일 만을 바카디라고 하라는 판결을 내린적도 있다고 하네요.","도수 ★★★
단맛 ★★★
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","[조주기능사 레시피]
바카디 럼  1+3/4oz 
라임주스  3/4oz 
그레나딘 시럽  1 tsp","1. 칵테일 글라스에 얼음을 담아 칠링 시킨다.
2. 셰이커에 5~7조각 정도의 얼음을 넣는다.
3. 바카디 럼을 1+3/4oz 만큼 넣는다.
4. 라임주스를 3/4oz 만큼 넣는다.
5. 그레나딘 시럽을 1티스푼 넣는다.
6. 셰이킹 후 글라스의 얼음을 버리고 잔에 음료를 따르면 완성!"
갓마더,"이탈리아 마피아를 연상케 하는 갓파더 칵테일의 변형 버전, 갓마더! 이 칵테일 역시 이탈리아의 유명한 아몬드 리큐르, 아모레또가 필수 재료 중 하나인데요. 위스키를 섞는 갓파더와 달리, 갓마더는 아마레또에 보드카를 섞어서 달콤하고 부드러운 맛이 특징이랍니다. 강하고 묵직한 느낌의 갓파더와 상반되는 갓마더의 부드럽고 깔끔한 매력이 돋보이죠!
 위스키가 아닌 보드카를 사용함으로써 갓마더는 강하고 묵직한 느낌의 갓파더 보다 더욱 부드러운 달콤함이 돋보이는 칵테일이랍니다. 그래서 위스키를 좋아하지 않거나 부담스럽지 않으면서 도수가 높은 칵테일을 찾으시는 분들에게 특히 추천드려요!","도수 ★★★
단맛 ★☆☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★★★","보드카  1 + 1/2 oz
아마레또  1 oz
Tip: 비율은 기호에 따라 조정 가능! ","1. 올드 패션드 글라스에 얼음을 채워 칠링 시킨다.
2. 두 재료를 글라스에 따르고 가볍게 저어준다."
진 피즈,"피즈 스타일 칵테일의 한 종류로, 미국의 바텐더 제리 토마스가 낸 Bartender's Guide라는 책에서 처음 등장했다고 해요. 피즈라는 이름은 소다수의 탄산이 내는 특유의 소리에서 따온 것이라고 하죠. 
 진 피즈는 18세기 미국에서 큰 인기를 끌다 현재는 전 세계로 그 인기가 확산되었는데요, 낮은 도수와 상큼한 시트러스 향 덕에 누구나 부담 없이 접할 수 있는 칵테일입니다. 또한 재료의 비율에 따라 다양한 맛을 즐길 수 있답니다.
 ","도수 ★☆☆
단맛 ★★☆
신맛 ★★★
쓴맛 ★☆☆
탄산 ★★☆
얼음 ★★☆","진  1 + 1/2 oz
레몬 주스  1 oz
설탕 시럽  1/3 oz
탄산수  Fill Up
가니쉬: 레몬 혹은 라임 슬라이스
 ","1. 하이볼 글라스에 얼음을 가득 채운다.

2. 셰이커에 얼음을 채우고 진, 레몬 주스, 설탕 시럽을 넣어 섞는다.

3. 글라스에 따른 후 탄산수를 채운다.

4. 레몬 혹은 라임 슬라이스로 장식한다."
