상품명,주종,도수,용량,한 줄 설명,태그,맛,향미그래프,설명,
제주 오메기 맑은 술,약주,16%,500ml,직접 디딘 누룩과 좁쌀로 만든 떡을 발효시켜 만든 약주,#레모네이드 같은 짜릿함 #오메기떡으로 만들었어요,레모네이드 같은 산미와 쌀의 구수한 풍미를 한꺼번에 느낄 수 있어요,단맛:3|산미:4|씁쓸:2|바디:3,"[제주 오메기 맑은 술], 어떤 맛을 갖고 있나요?



잔에 담긴 술 향만 맡았을 뿐인데 



새콤한 향이 코 가까이 다가옵니다.



그리고 산미가 입안 곳곳에 스며들어



마치 레모네이드를 마신 것처럼 찌릿해지는 느낌을



경험할 수 있을 거예요.



그 뒤로 쌀의 구수한 풍미가 올라와



입안을 차분하게 정돈시켜줄 테니 천천히 음미해보세요.
[제주 오메기 맑은 술], 

어떤 음식과 잘 어울리나요?



제주도의 정취를 한 입 가득 담을 수 있도록 



제주도 하면 떠오르는 담백한 회나



짭조름한 생선구이류와 함께해 보세요.



레몬처럼 상큼한 술의 풍미를



더욱 풍부하게 느낄 수 있도록 도와줄 거예요.
[제주 오메기 맑은 술], 

알고 마시면 더 맛있어요!



제주 오메기 맑은 술은 직접 디딘 누룩과



오메기떡을 발효시켜 맑게 뜬 술이에요.



오메기란 제주도민들의 주 곡식이었던



좁쌀을 뜻하는 제주도 방언인데요.



제주도 여행길에서 흔히 보던



그 오메기떡을 만들 때는 사용하는 재료이기도 하죠.



하지만 다른 점이 하나 있어요.



오메기떡은 달콤한 팥을 넣어 동글동글하게 만든 반면,



술에 사용할 때는 좁쌀을 얇은 도넛 모양으로 반죽해 만든답니다.",
토끼소주 화이트 23%,증류식소주,23%,375ml,미국인 손에 의해 탄생한 우리나라 증류주!,#물처럼 편안한 목 넘김 #가볍고 깔끔한 맛,풍미가 옅어서 가볍게 즐기기 좋아요,"향의계열:고소2|연상되는향:쌀밥,누룩|향의강도:2|여운:2|바디:2","[토끼소주 화이트 23%], 

어떤 맛을 갖고 있나요?



곡물의 구수한 향이 은은하게 풍기는 술이지만 



전반적으로 풍미가 옅어서 가볍게 마시기 좋아요.



그만큼 물처럼 맑기 때문에 부드럽고



편안한 목 넘김을 느낄 수 있죠.



하지만 술을 넘기면 슬며시 올라오는 작열감이



은은한 여운을 선사해줄 거예요.
[토끼소주 화이트 23%], 

어떤 음식과 잘 어울리나요?



밥 먹을 때 가볍게 반주로 즐겨주세요.



풍미가 옅은 술인 만큼 밥맛을 헤치지 않거든요.



게다가 편안한 목 넘김을 갖고 있어서



목 막힘 없이 밥이 술술 넘어가게 될 거예요.
[토끼소주 화이트 23%], 

알고 마시면 더 맛있어요!



브랜든 힐이라는 미국인이 우리나라 전통 소주를



현대 증류 방식으로 생산한 술이에요.



우리나라에 처음 방문했을 때 전통 증류주를 맛보고,



그 맛에 반하게 되어 탄생하게 되었죠.



또한 토끼소주라는 이름은 달에 토끼가 살고 있다는 민속 설화와



우리나라에 처음 방문한 2011 신묘년에



영감을 받아 붙여지게 됐어요.",
아미주 40%,일반증류주,40%,500ml,양조장에서 처음으로 출시한 매실 증류주,#BTS 지민이 선물받은 술 #쌉쌀한 풍미,채소의 쌉쌀한 풍미를 느낄 수 있는 화사한 증류주,"향의계열:화사2|연상되는향:블루베리,박하사탕,풋사과|향의강도:4|여운:4|바디:4","[아미주 40%], 어떤 맛을 갖고 있나요?



미나리처럼 향긋한 채소의 풍미가 쌉쌀하게 느껴져요.



입안에 형광등을 켠 것 같은 화사함 덕에



마치 박하사탕을 먹은 것 같은 느낌이 들기도 하죠.



미끌거리는 술의 질감은 코팅이라도 한 듯 혀를 매끄럽게 감싸고



술이 넘어간 뒤에는 풋사과의 싱그러운 향이 맴돌 거예요.
[아미주 40%], 어떤 음식과 잘 어울리나요?



기름진 음식 또는 짭조름한 음식과 즐겨보세요.



음식이 가진 묵직한 풍미가 술을 마신 뒤 올라오는



작열감을 살포시 눌러주는 역할을 하거든요.



게다가 참기름을 살짝 둘러 고소한 향까지 더해진 음식이라면



입안 가득 다채로운 풍미에 놀라



술잔 드는 것을 멈추지 못 할지도 몰라요.
[아미주 40%], 알고 마시면 더 맛있어요!



양조장이 위치한 당진 순성면은 작은 마을이지만



양조장 대표님은 젊은 사람들이



이곳에서 다양한 꿈을 펼칠 수 있기를 바라왔대요.



그래서 마을에 매실나무 10만 그루를 심게 되었고



매실을 활용하여 술을 생산하는 시설을 마을 공동으로 갖추게 됐어요.



그것이 바로 지금의 양조장 모습이죠.



아미주는 양조장에서 처음으로 출시한 증류주로



당진을 대표하는 술이 되겠다는 마음가짐을 담아



양조장 인근 산 이름으로 짓게 되었답니다.",
금풍양조 막걸리 X 4병,탁주,6.90%,750ml,강화도에서 3대째 운영하는 양조장의 막걸리,#우리나라 최초 비건 막걸리 #은은한 단맛과 가벼운 막걸리를 좋아한다면,목 넘김이 가볍고 여운이 구수한 막걸리,단맛:3|산미:2|씁쓸:1|바디:3|탄산:0,"[금풍막걸리], 어떤 맛을 갖고 있나요?



요거트에서 느껴질 법한 산뜻한 향과

'

누룩의 고소한 향을 갖고 있어요. 



술을 머금으면 은은한 단맛과 시간이 지날수록



쓴맛이 올라오는 것도 느낄 수 있을 거예요. 



또한, 질감이 묽은 만큼 목 넘김은 가벼운 편이에요. 



술을 넘긴 뒤에는 우유를 마신 것처럼 입안에 얇은 막이 생기고, 



누룩의 풍미로 인해 구수한 여운까지 올라오니



놓치지 말고 모두 경험해 보세요.
[금풍막걸리], 어떤 음식과 잘 어울리나요?



살짝 매콤하게 요리된 음식과 함께 해보세요. 



김치를 곁들인 음식도 좋고



고춧가루를 톡톡 뿌려 양념한 음식도 좋아요. 



금풍 막걸리의 은은한 단맛이



음식의 매콤한 맛을 부드럽게 잡아준답니다. 



살짝 기름진 음식도 괜찮아요. 



가벼운 목 넘김이 청량감을 선사하기 때문에



느끼함을 깔끔하게 잡아줄 거예요.
[금풍막걸리], 알고 마시면 더 맛있어요!



금풍막걸리의 도수인 6.9는 현재 대표님의 할아버지께서



금풍양조장을 인수하셨던 1969년을 의미하는 숫자예요. 



인수한 후, 현재에는 3대째 가업이 이어지고 있으며



강화도 무농약 쌀로 친환경적인 술을 빚고 있기도 합니다. 



또한, 금풍막걸리는 2021년 한국비건인증원을 통해



여러 심사를 거친 후 국내 최초로 비건 인증을 받았다고 해요.",
청주신선주 약주 16%,약주,16.00%,"375ml, 500ml",신라시대 최치원 선생이 신선봉에 정자를 짓고 마신 술,#10가지 약재가 들어간 술 #새콤쌉싸름,10가지 재료가 들어간 만큼 풍부한 맛과 향을 느껴보세요,단맛:2|산미:4|씁쓸:4|바디:3,"[청주신선주 약주 16%], 

어떤 맛을 갖고 있나요?



10가지 약재가 들어간 술인만큼



은은한 단맛과 쌉싸름한 풍미가 복합적으로 어우러집니다.



화이트 와인을 마신 듯 혀를 감싸는 새콤한 산미도



함께 느껴보실 수 있을 거예요.



그다음 누룩의 구수한 향이 입안을 차분히 눌러주며



술맛을 더욱 풍성하게 만들어 줍니다.
[청주신선주 약주 16%], 

어떤 음식과 잘 어울리나요?



새콤한 산미를 가진 신선주 약주는 비슷한 결을 가진



 새콤한 음식과 드시는 것을 추천드립니다.



입안 가득 산뜻한 풍미가 채워지면서 침샘을 자극할 거예요.





술이 가진 다양한 풍미를 느끼고 싶으시다면



실온에 30분 정도 두었다가 드셔보시길 바랍니다.



잠재되어 있던 술의 맛과 향이 깨어나면서



여러 가지 재료들이 어우러진 맛을



충분히 느껴보실 수 있을 거예요.
[청주신선주 약주 16%], 

알고 마시면 더 맛있어요!



함양 박씨 집안에서 19대째 빚어 오고 있는 술이에요.



신라시대 최치원 선생이 신선봉에 정자를 짓고



술을 즐겨 마셨다는 유래로 전해 내려왔답니다.





옛날에는 집안의 술을 보고 가족 구성원의 건강과 체질을



예측할 수 있었다고 해요.



마찬가지로 신선주에서도 인삼, 구기자, 당귀 등



함양 박씨 집안의 체질에 맞게 10가지 약재가 들어갔답니다.",
하얀 까마귀 X 3병,탁주,8.00%,850ml,막걸리를 많이 마셔 몸이 하얘졌답니다,#포근한 단맛 #행운을 상징하는 하얀 까마귀,우유처럼 부드러운 목넘김을 가졌어요,단맛:4|산미:3|씁쓸:2|바디:4|탄산:0,"[하얀 까마귀],

어떤 맛을 갖고 있나요?



우유처럼 부드러운 질감을 가지고 있어 꿀꺽꿀꺽 마시기 좋아요.



다 마신 후에 입안에 생기는 옅은 막마저 우유를 연상시킵니다.



포근하게 느껴지는 단맛이 넘어가고



은은한 씁쓰름함이 올라오는데요.



산뜻하게 올라오는 알콜감 덕에 금방 개운해질 거예요.
[하얀 까마귀],

어떤 음식과 잘 어울리나요?



튀기거나 진득한 농도를 가진 음식과 드셔보세요!



입안에 남은 텁텁함과 기름진 맛이



술의 묵직한 질감과 함께 싹 내려갈 거예요.



찜닭 같은 짭조름한 음식과도 궁합이 좋은데요.



술의 달콤쌉쌀한 맛이 짠맛을 잘 잡아주고



식욕을 당기는 감칠맛으로 바꿔줄 거예요.
[하얀 까마귀],

알고 마시면 더 맛있어요!



까마귀는 오산시를 상징하는 동물이에요.



여기에 막걸리의 특징인 뽀얀 색이 곁들여져 



‘하얀 까마귀’라는 이름이 붙여졌습니다.



예로부터 흰 동물은 좋은 의미를 상징해왔기 때문에



흉조를 나타내는 검은 까마귀와 달리 길조로 여겨졌어요.



*TMI : 라벨에 그려진 하얀 까마귀는 



‘까미’라는 귀여운 이름을 갖고 있어요.



막걸리를 많이 마셔 몸이 하얘졌다는



재밌는 스토리가 담겨 있답니다!",
모월 로 25%,증류식소주,25.00%,500ml,"사람을 품은 소주, 모월의 부드러움을 만나보세요",#부드럽고 깔끔 #쌀의 달큰한 풍미,은은하게 풍기는 달콤한 향과 함께 부드럽게 넘어가요,향의계열:고소2|연상되는향:쌀밥|향의강도:3|여운:3|바디:3,"[모월 로 25%], 어떤 맛을 갖고 있나요?



냉장고에서 꺼내 시원하게 바로 마시는 첫 잔에선 깔끔함을,



담화를 나누다 마시는 두 번째 잔에선 부드러움이 느껴져요.



강하진 않지만 은은하게 풍기는 달콤한 향이



부드럽게 스며들면서 술자리의 분위기를 한 층 더 빛내줄 거예요.
[모월 로 25%], 어떤 음식과 잘 어울리나요?



레몬의 산뜻한 향과 곡물의 달짝지근한 풍미를 가지고 있어서



얼음과 레몬 슬라이스를 넣어 마셔도 좋고요.



닭발에 소주 찾듯 매콤한 음식은 물론, 씁쓸함이나 고소함,



화사함 등 어느 하나 튀지 않는 조화로운 맛으로



소주랑 먹는 웬만한 음식들과 잘 어울리는 편이랍니다
[모월 로 25%], 알고 마시면 더 맛있어요!



예로부터 치악산 아래의 원주는 정이 많고 텃세가 없어



누구나 살기 좋은 고향이라는 의미로 ‘모월산’, ‘모월‘로 불렸는데요.



그러한 어머니와 달의 따뜻한 이미지를 따서



술 이름을 지었답니다.





모월의 소주는 원주의 맑은 물과 토토미, 직접 빚은 누룩



으로 만든 술을 동 증류기로 한 방울씩 정성껏 내리는데요.



75도의 원주를 물과 블랜딩해서 도수를 맞춘 후



총 6개월 정도 숙성을 거쳐 완성된답니다.",
시나브로 캠벨 스위트,과실주,12.00%,750ml,달콤한 첫맛에 반전매력이 돋보이는 씁쓸한 끝맛,#익숙한 달콤씁쓸한 맛 #오프너 필요 없이 간편하게,달콤씁쓸하게 즐길 수 있는 레드와인,단맛:3|산미:3|탄닌:2|바디:3|탄산:0,"[시나브로 캠벨 스위트],

어떤 맛을 갖고 있나요?



평소 우리가 즐겨 먹던 포도로 만든 와인답게



익숙하면서도 확실한 포도향을 풍기는 술이에요.



처음엔 단맛이 확 느껴지다가도 목을 넘긴 순간부턴



산미와 씁쓸한 맛이 올라오게 되는데요.



이때 다시 한번 포도의 풍미가 입안을 감싸게 되니



포도에서 느낄 수 있는 모~든 맛을 여유롭게 경험해 보세요.
[시나브로 캠벨 스위트],

어떤 음식과 잘 어울리나요?



레드 와인의 근본 조합!



돼지고기와 소고기를 이용한 스테이크는 물론



가금류 요리와도 잘 어울리는데요.



마실 땐 너무 차가운 온도보단 상온에 살짝 두어 마셔보세요.



더욱더 풍부한 향과 맛을 즐길 수 있게 될 거예요 :) 
[시나브로 캠벨 스위트],

알고 마시면 더 맛있어요.



캠벨 포도는 우리나라에서 가장 많이 먹는 포도에요.



그 덕에 ‘시나브로 캠벨 스위트’는



익숙하면서도 편안하게 느낄 수 있는 맛을 갖고 있는데요.



이때 사용되는 포도는 농가형 와이너리인 ‘불휘농장’에서



직접 재배하여 만든답니다!",
264 청포도 와인 광야 (Dry),과실주,12.50%,"375ml, 750ml",달콤한 과일향이 매력적인 화이트 와인,#청포도 와인 #이육사 광야,산뜻한 산미와 달콤한 꽃향,단맛:2|산미:3|탄닌:3|바디:3|탄산:0,"[264 청포도 와인 광야],

어떤 맛을 갖고 있나요?



264 청포도 와인 ‘광야’는 미디움 스위트에 속하는 와인으로



은은한 단맛과 약간의 떫은맛을



조화롭게 느낄 수 있는 화이트 와인입니다.



청수로 빚은 와인답게 산뜻한 산미가 돋보이며



종합선물세트 같은 다양한 맛을 선사해주기도 한답니다.
[264 청포도 와인 광야],

어떤 음식과 잘 어울리나요?



생동감 있는 산미를 느끼기 위해선



냉장 보관하여 차가운 상태로 마시는 것을 추천해 드립니다.



복합적인 맛을 지닌 술이므로 족발, 육회, 초밥 등



대부분의 음식과 잘 어울립니다.
[264 청포도 와인 광야],

알고 마시면 더 맛있어요!



264 청포도 와인은 우리나라 독립 운동가이자 민족 시인인



이육사 선생의 고향, 안동에서 만들어집니다.







국산 품종인 ‘청수’를 이용하여 빚은 와인들로



청포도, 절정, 꽃, 광야 모두 이육사 선생의 시 제목을 따와



그 뜻을 함께 전하고 있는데요.







이미 여러 수상 경력을 통해 맛과 향의 우수성을 인정받은



와인이랍니다. :)",
독산 30%,증류식소주,30.00%,250ml,오산 세마쌀로 만든 증류식 쌀 소주,#오산의 독산성 #쌀소주의 진득한 풍미,쌀로만 빚은 깔끔한 소주,"향의계열:고소2,화사1|연상되는향:쌀밥|향의강도:3|여운:3|바디:3","[독산 30%], 어떤 맛을 갖고 있나요?



깔끔하고 구수한 곡물향과 과일 향을 조화롭게 풍기는 술이에요.



맛에서도 곡물의 고소함과 다채로운 풍미를 느낄 수 있을텐데요.



묵직한 바디감과 부드러운 질감의 목 넘김 뒤엔



긴 여운과 상쾌한 풍미를 선사한답니다.
[독산 30%], 어떤 음식과 잘 어울리나요?



양념이 강하거나 매운 음식은 맛을 다 가릴 수도 있어요.



그래서 흰살 생선회나 연포탕처럼



깔끔한 음식과 함께하는 것을 추천합니다!



대부분 소주는 차갑게 마시는 편이지만



‘독산 30%’은 너무 차가운 상태에선 풍미가 감춰지므로



적당히 차가운 온도로 마셔보세요.
[독산 30%], 알고 마시면 더 맛있어요!



상압식 증류 방식을 사용하여 빚어진 술이에요.



‘상압식’은 700년 동안 사용된 증류 방식으로



1기압 상태에서 소주를 내리는 방식인데요.



열을 받아 생겨나는 향(탄내)과 거친 풍미를 갖는 특징이 있어요.",
경성 과하주,약주,20.00%,375ml,발효도 안 끝난 술에 소주를 태워?,#포트와인 좋아하시나요? #달달하다~,새콤달콤한 풍미 가득한 술,단맛:5|산미:3|씁쓸:3|바디:4,"[경성 과하주], 어떤 맛을 갖고 있나요?



‘경성 과하주’는 달콤한 청사과향과 꽃향을 느낄 수 있는 술이에요.



높은 도수를 가졌지만 알콜 특유의 씁쓸함은 없는 편이며,



진한 단맛으로 인해 새콤달콤하게 마실 수 있는데요.



목 끝에 알싸하게 남는 작열감과 구수한 여운까지



천천히 즐겨보세요.
[경성 과하주], 어떤 음식과 잘 어울리나요?



약간의 작열감은 튀김요리와 깔끔하게 잘 어우러지며



진한 단맛은 달콤한 과일류와 함께하기 좋은데요.



전체적으로 술의 맛이 강한 편이라 갈비찜, 고등어조림처럼



뚜렷한 맛을 지닌 음식과도 대체로 잘 어울립니다.
[경성 과하주], 알고 마시면 더 맛있어요!



과하주는 ‘여름을 나는 술’로 온도가 높은 여름에



술이 상하지 않도록 발효 과정에 증류주를 혼합하여 숙성한



주정강화 술입니다.







그중 ‘경성 과하주’는 고문헌을 바탕으로 복원했는데요.



여주 햅찹쌀로 빚은 약주에 동증류기로



상압으로 내린 100% 증류원액을 블랜딩하여 만든 과하주입니다.",
허니비 와인,기타주류,8.00%,375ml,저절로 꿀벌이 꼬일 것 같은 진한 달콤함을 가진 미드,#아카시아꽃 꿀 #은은한 꽃 향,벌꿀 집 한 조각을 입에 넣은 듯한 달콤함,단맛:4|산미:2|탄닌:1|바디:2|탄산:0,"[허니비 와인],

어떤 맛을 갖고 있나요?



사과주스 같은 새콤달콤한 향이 코를 간질거릴 거예요.



술을 한 입 맛보면 벌꿀집 한 조각을 입에 넣은 듯한



달콤함을 느낄 수 있어요.



낮은 도수를 가졌지만 달콤함은 입안에서 찐득하게 눌어붙으며



꿀의 풍미를 가득 담아볼 수 있게 만들어줘요. 



술을 넘어가면 쌉쌀함이 입안에 남아



새로운 여운을 선사해주기도 해요.
[허니비 와인],

어떤 음식과 잘 어울리나요?



달콤한 허니비 와인은 한국 전통의 디저트인 약과랑 잘 어울립니다.



스위트 와인과 비슷하므로 차갑게 해서 디저트 또는



과일, 가벼운 안주랑 드시는 것을 추천해 드립니다.
[허니비 와인],

알고 마시면 더 맛있어요!



허니비는 아카시아꿀과 밤꿀에 효모를 넣고



?발효시켜 만든 미드예요.



그리고 발효할 때 말린 귤껍질을 함께 넣어 산뜻함도 추가했답니다.



한 달 동안 발효를 거쳐 만들어진 술은 



3개월 이상 숙성까지 거쳐 허니비로 완성돼요.



미드(mead)는 꿀로 만든 발효주을 일컫는 말이에요.",
문경바람 오크 40%,일반증류주,40.00%,375ml,사과로 만들어 300일 이상 숙성한 사과 브랜디,#사과 브랜디 #인기 혼술 제품,중후한 사과의 풍미를 잔잔하게 느껴보세요,"향의계열:달콤1,화사2|연상되는향:오크,사과|향의강도:4|여운:4|바디:4","[문경바람 오크 40%],

어떤 맛을 갖고 있나요?



풍부한 사과향부터 오크의 스모키한 향까지 고루 갖춘 이 술은



사과의 달짝지근한 맛과 오크의 중후한 풍미를



조화롭게 느낄 수 있는 술인데요.



높은 도수를 지닌 만큼 목 안에서 타오르는 듯한 작열감과



입안을 화사하게 감싸는 매운맛이 매력적인 사과 브랜디입니다.
[문경바람 오크 40%],

어떤 음식과 잘 어울리나요?



스모키하고 달콤한 향을 가져서



비슷한 풍미를 가진 초콜릿과 간편하게 즐기기 좋습니다.



또한 고도수 증류주답게 삼겹살 혹은 참치 뱃살처럼



기름지고 풍부한 맛을 가진 음식과 굉장히 잘 어울립니다.

 

아! 술이 너무 독하거나 맵다면



언더락으로 마시는 것을 추천해 드려요 :)
[문경바람 오크 40%],

알고 마시면 더 맛있어요!



문경 지역에서 생산된 사과를 사용하여



2번의 증류 과정과 오크통 숙성을 통해 만들어집니다.



술 한 병에는 무려 7개의 사과가 사용되는 만큼



진한 사과의 풍미가 인상적인데요.



2017년에는 맛과 품질의 우수성을 인정받아



우리술 품평회 증류주 부문에서 최우수상을 받았습니다.",
추사 40%,일반증류주,40.00%,"200ml, 500ml",사과 와인을 증류하여 오크통에 숙성한 브랜디,#사과 브랜디 #2019년 대상 받은 증류주 #미소천사 손호영이 소개한 술,스모키한 오크향과 달콤한 사과향을 천천히 음미해보세요,"향의계열:달콤2,화사1|연상되는향:오크,사과|향의강도:4|여운:4|바디:4","[추사 40%], 어떤 맛을 갖고 있나요?



사과의 달콤한 풍미와 참나무의 스모키한 풍미로



입 안을 가득 채워주는 술인데요.



40도라는 높은 도수가 믿기지 않을 만큼



깔끔하고 부드러운 목 넘김을 갖고 있어서



부담 없이 마실 수 있는 술입니다.



고도수가 선사하는 작열감까지 빼먹지 않고 느낄 수 있으니



천천히 음미해보세요. 
[추사 40%], 어떤 음식과 잘 어울리나요?



화려한 향을 자랑하는 술인 만큼



치즈나 초콜릿처럼 화려한 풍미를 갖춘 음식과 잘 어울립니다.



온도에 따라 다양한 맛을 느낄 수 있는데요.



부드러움을 한층 더 느끼고 싶다면 얼음을 넣어 언더락으로



달콤한 향을 더 깊게 느끼고 싶다면



실온 보관 후에 마시는 것을 추천합니다 :)
[추사 40%], 알고 마시면 더 맛있어요!



사과를 동증류기에 2번 증류한 후



오크통에서 3년 숙성시킨 사과 증류주입니다.



‘추사’에는 [가을 사과]와 [가을 이야기]라는 뜻 외에도



예산이 고향인 추사 김정희 선생의 삶과 정신을 담고 있는데요.



라벨 디자인에도 추사 김정희 선생이 그린 난을 삽입함으로써



‘꺾였지만 살아있는 선비의 마음’을 담았습니다.
",
선셋 체리 스파클링 약주 X 3병,약주,5%,300ml,곡성 가루미 쌀과 체리로 만든 탄산 톡톡 스파클링 약주,#체리 맛 아이스크림 풍미 #청량감 넘쳐요,탄산 덕에 더욱 청량하게 느낄 수 있는 체리 풍미,단맛:2|산미:3|씁쓸:3|바디2,"[선셋 체리 스파클링 약주],

어떤 맛을 갖고 있나요?



술을 마시자마자 입안에 스며드는 체리 향은



마치 체리 맛 아이스크림을 먹은 것 같은 기분을 들게 해요.



전체적으로 맛이 옅고 드라이하기 때문에



체리의 풍미가 물리지 않을 거예요.



게다가 청량감을 선사하는 탄산 덕에



맥주처럼 병째로 가볍게 마시기 좋답니다.
[선셋 체리 스파클링 약주],

어떤 음식과 잘 어울리나요?



집에서 편안하게 영화 볼 때와 같이



팝콘 또는 스낵류와 함께 즐겨보세요.



옅은 맛을 가진 술인 만큼 진하고 무거운 음식보다는



가벼운 음식과 잘 어울리거든요.



툭툭 손이 가는 과자처럼



선셋 체리 스파클링 약주에도 절로 손이 가게 될 거예요.
[선셋 체리 스파클링 약주],

알고 마시면 더 맛있어요!



곡성에서 재배한 체리로 만드는 스파클링 약주예요.



술 이름으로 선셋이 붙여진 이유에는



양조장 대표님의 일화가 담겨있는데요.



체리 스파클링 약주 제조 테스트를 마치고 집으로 돌아가는 길,



붉어진 노을을 보며 빚고 있는 체리 술도



빨갛게 잘 나올 것 같다는 설렘을 느끼셨다고 해요.



그렇게 해서 선셋 체리 스파클링 약주가 탄생하게 되었답니다.",
벚꽃시즌,기타주류,10.70%,"295ml, 500ml",벚꽃시즌에만 채밀할 수 있는 꿀로 빚은 산뜻한 미드,#화이트 와인을 마시는 듯 #산뜻한 청포도 향,꿀의 달콤한 풍미 뒤로 느낄 수 있는 산뜻한 청포도 향,단맛:3|산미:4|탄닌:0|바디:2|탄산:2,"[벚꽃시즌], 어떤 맛을 갖고 있나요?



잔에 따르자마자 새콤한 레몬 향이 코앞까지 마중을 나옵니다. 



술을 한 모금 맛보면 옅은 탄산과



꿀의 달콤한 풍미를 느낄 수 있어요.



하지만 꿀의 존재감은 눈 녹듯 금방 사라지고,



가벼운 화이트 와인을 마시는 듯한 산뜻함이 올라오며



입안 분위기를 화사하게 바꿔줄 거예요.



술을 넘기고 난 뒤에는 청포도 향과 화사함이 은은하게 남으니



놓치지 말고 즐겨보세요!
[벚꽃시즌], 어떤 음식과 잘 어울리나요?



보기만 해도 침샘을 자극할 만한 상큼한 음식과 즐겨보세요.



청포도 같은 산뜻함을 담고 있는 술과 곁들인다면



두 배의 상큼함을 경험할 수 있거든요.



꿀의 달콤한 풍미와 곁들어진 싱그러움 덕에



마치 입안 가득 봄이 온 듯한 기분을 즐기게 해줄 거예요.
[벚꽃시즌], 알고 마시면 더 맛있어요!



벌들이 벚꽃에서 직접 채밀한 벚꽃꿀로 만드는 술이에요.



벚꽃은 4월에 잠깐 피고 지기 때문에



꿀도 일주일 정도만 채밀할 수 있다고 해요.



그마저도 봄비가 내려 벚꽃이 일찍 지게 되면



얻을 수 있는 양은 훨씬 줄어들게 되죠.



벚꽃시즌에만 구할 수 있는 꿀로 빚은 술인 만큼



술 한잔으로 봄 분위기를 가득 담아보세요!",
그랑꼬또 로제와인,과실주,12%,750ml,대부도 포도의 자존심이 담긴 로제 와인,#쨍한 새콤함 #드라이해요,쨍한 산미를 가진 드라이한 와인,단맛:2|산미:4|탄닌:1|바디:4|탄산:0,"[그랑꼬또 로제와인], 

어떤 맛을 갖고 있나요?



생 과육을 그대로 담은 듯 신선한 포도 향이 코를 사로잡아요.



포도 향에 한껏 취한 채 술을 한 입 머금으면



쨍한 새콤함이 입안을 깜짝 놀라게 하죠.



그리고 산미는 곳곳에 스며들어 침이 절로 고이게 만든답니다.



옅은 단맛은 서서히 올라와



포도의 새콤달콤한 풍미를 채워줄 거예요.
[그랑꼬또 로제와인], 

어떤 음식과 잘 어울리나요?



술의 쨍한 산미가 침을 고이게 만든 만큼



입맛이 확 살아나 슬슬 허기가 질 거예요.



이때 풍미가 짙은 고기 안주로 배를 채워보세요.



육즙에서 흘러나온 기름진 풍미를 술의 산미가 가볍게 잡아주며



음식 맛을 물리지 않도록 이끌어줄 거예요.
[그랑꼬또 로제와인], 

알고 마시면 더 맛있어요!



대부도는 농가의 90%가 포도 농사를 지을 만큼



맛 좋은 포도가 많이 재배되고 있어요.



그중에서 그랑꼬또 로제와인은 



캠벨얼리 포도 품종을 사용해서 만든다고 합니다.



수확 철에 따온 포도는 껍질째로 발효하다가



붉은빛이 우러나면 껍질을 제거해요.



그리고 포도의 신선한 풍미를 그대로 살리기 위해 오크 숙성이 아닌 



?스테인리스 용기에 담아 1년 넘게 숙성하면



그랑꼬또 로제와인으로 탄생하게 돼요.",
북한강 40%,증류식소주,40%,375ml,북한강의 깨끗한 물로 만든다는 자부심을 내세웠어요,#입안을 강타하는 얼얼함 #고소한 풍미,볶은 콩의 풍미를 가졌어요,"향의계열:고소2,화사1|연상되는향:볶은콩|향의강도:4|여운:4|바디:4","[북한강 40%], 어떤 맛을 갖고 있나요?



높은 도수임에도 불구하고 생각보다 순한 맛을 가진 덕에



입안에서 절로 술을 굴리게 될 거예요.



하지만 술을 넘기자마자 모든 구간이 마비된 것처럼 



얼얼함이 느껴져 깜짝 놀랄 수도 있어요.



그래도 너무 걱정하지 마세요.



뒤이어 볶은 콩을 먹은 것 같은 고소함이 올라오며



마음을 안정시켜줄 테니까요.
[북한강 40%], 어떤 음식과 잘 어울리나요?



촉촉함이 살아있는 수분 가득한 요리와 함께해 보세요. 



안주가 주는 수분감이 술의 얼얼한 자극을 덮어주거든요. 



이때 재료 본연에서 올라오는 고소한 풍미도 갖춘 음식이라면



술에서 느낄 수 있는 고소한 맛을



더욱 생동감있게 즐길 수 있을 거예요.
[북한강 40%], 알고 마시면 더 맛있어요!



화천의 햅쌀로 지은 고두밥과 누룩, 효모를 섞어 1차 발효한 다음, 



고두밥을 추가해 총 두 번 발효해요.



만들어진 술은 맑은 부분만 걸러 상압 증류 후 1년 동안 숙성합니다.



그리고 도수를 맞춘 뒤 냉각 여과와



마지막 숙성까지 거쳐야만 북한강 40%로 탄생하게 돼요.",
