내용링크,제목,작가,별점,줄거리,태그,관심,이용가,몇화,이미지링크
/webtoon/list?titleId=768536,잔불의 기사,환댕,9.96,"유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다.
천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만,
동생의 복수를 위해 '강함'을 연기하기로 결심했다.
약해빠진 나는 복수에 성공할 수 있을까.",#판타지#세계관#판무#복수극,219619,15세 이용가,총 136화,https://image-comic.pstatic.net/webtoon/768536/thumbnail/thumbnail_IMAG21_91c5c081-77e6-4516-a503-2f45aad57401.jpg
/webtoon/list?titleId=805907,나 없는 단톡방,봉수,9.93,"여고생 안효인은 학교에서 친구들과 잘 지내는 편이었다. 학급 내에서는 분위기 파악도 할 줄 알고 때에 따라 친구들을 적당히 웃기기도 했다. 
덕분에 그녀를 적대적으로 대하는 친구들은 거의 없었다. 그러나 어느 날 부터 효인은 영문도 모른 채 묘한 따돌림을 당하기 시작한다. 
스마트 폰을 뒤늦게 산 탓 때문일까. 심지어 효인만 없는 단톡방의 존재까지 알게 된다. 

""내가... 뭘... 잘못한 거지?""",#드라마#요즘핫한추천작#학원물,141282,12세 이용가,총 35화,https://image-comic.pstatic.net/webtoon/805907/thumbnail/thumbnail_IMAG21_ab626e51-db74-46ff-8fdb-4a62edbc4fd1.jpg
/webtoon/list?titleId=814742,좀비묵시록 82-08,달아 / 경우 / 박스오피스,9.70,"탕-!

의문의 선박 속
'그것'으로부터 시작된 괴이한 전염병은
서울을 죽음의 도시로 만들어버린다.

예고 없이 닥쳐온 심판의 그날부터
세상의 모든 질서는 완전히 리셋되었다.

처절한 생존 경쟁 속에서
프로젝트명 [좀비묵시록 82-08]이 시작된다.",#액션#소설원작,22875,15세 이용가,총 13화,https://image-comic.pstatic.net/webtoon/814742/thumbnail/thumbnail_IMAG21_239b2422-91ff-4649-aa83-932f90582e11.jpg
/webtoon/list?titleId=761461,순정말고 순종,슈안,9.96,"하루에 무려 쓰리잡. 
스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 
그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?!
2017 최강자전 대상 수상작 <늑대와 빨간모자> 슈안 작가의 차기작!",#로맨스#로맨스코미디#연예계#삼각관계,511226,15세 이용가,총 139화,https://image-comic.pstatic.net/webtoon/761461/thumbnail/thumbnail_IMAG21_e3c857a7-900b-4085-969a-75d9127b5a38.jpg
/webtoon/list?titleId=814594,개같이 탈출,갬쟈,9.95,"""살아남으라고? 나는 자그만 말티즈란 말이야!""

세상 따뜻하고 포근한 가정집에서 살아온 삐용이. 
언니 품에서 그저 귀엽기만 하면 되는 견생이었는데... 갑자기 가족들과 모든 인간이 사라져버렸다.
혼자서는 아무것도 할 줄 모르는데, 괴물 좀비 개들이 우글거리는 고립된 도시를 탈출해 언니를 만날 수 있을까?",#드라마#성장물#2022 지상최대공모전#무해한#힐링#좀비#동물,38822,전체연령가,총 9화,https://image-comic.pstatic.net/webtoon/814594/thumbnail/thumbnail_IMAG21_8746b12b-566e-4375-b0ab-1eaf48e17a1d.jpg
/webtoon/list?titleId=772725,물어보는 사이,성은,9.96,"뱀파이어에게 물리면 건강해진다?!
두통으로 의도치 않게 비호감 연예인이 된 이채이.
우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다.
물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...",#로맨스#아이돌#계약연애#직진남#인외존재#연예계#삼각관계#뱀파이어,391156,15세 이용가,총 117화,https://image-comic.pstatic.net/webtoon/772725/thumbnail/thumbnail_IMAG21_7769fa4b-5f29-4622-af74-613bda6a47ef.jpg
/webtoon/list?titleId=752414,리턴 투 플레이어,레포 / 세혼 / 인덱스,9.93,"어느 날, 게임이 되어버린 세상.
갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어 퀘스트를 달성해야 한다!
인류의 종말에서 회귀한 2회차 플레이어, 김세한.
그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!",#판타지#아포칼립스#게임판타지#회귀#소년왕도물#먼치킨#소설원작,239827,15세 이용가,총 140화,https://image-comic.pstatic.net/webtoon/752414/thumbnail/thumbnail_IMAG21_b66a0f20-01c1-4b3f-ab8e-1d5ca6f089fe.jpg
/webtoon/list?titleId=21815,히어로메이커,빤쓰,9.95,왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,#판타지#히어로,82521,전체연령가,총 891화,https://image-comic.pstatic.net/webtoon/21815/thumbnail/thumbnail_IMAG21_7292511306663934265.jpg
/webtoon/list?titleId=807775,천재 타자가 강속구를 숨김,황지성 / 스튜디오MW / 이블라인,9.91,"부와 명예, 모든 걸 얻은 천재 메이저리거 강건우.
그런 그조차도 아내와의 행복한 결혼 생활만큼은 이어갈 수 없었다.
아내의 빈자리를 느끼며 후회하던 그가 신비한 반지의 힘으로 과거에 돌아왔다.
풋풋한 연애시절의 고등학생이 된 그는 이번에야말로 사랑을 쟁취할 수 있을까.",#스포츠#야구#소설원작,66167,전체연령가,총 31화,https://image-comic.pstatic.net/webtoon/807775/thumbnail/thumbnail_IMAG21_91cb8ff9-5be3-40ba-8df9-661972577cd2.jpg
/webtoon/list?titleId=783050,신군,규남,9.95,"악마에게 모든 걸 잃고 먹이로 사육당하는 소년.
이를 갈며 복수를 갈망하지만 인간의 힘은 악마에게 닿지 못했다.
그때 그의 앞에 신군이 나타난다.
2020 지상최대공모전 2기 장려상 수상작!",#액션#소년왕도물,93732,15세 이용가,총 92화,https://image-comic.pstatic.net/webtoon/783050/thumbnail/thumbnail_IMAG21_ca9a662b-7a79-4e80-94c9-d62ebe597aad.jpg
/webtoon/list?titleId=802039,루루라라 우리네 인생,현이씨,9.96,"시간이 지나면 자연스레 성숙한 으른(?)이 되어 있을 줄 알았는데
그저 술과 음란한 이야기를 좋아하는 알딸딸한 어른이 되어버렸다. 
 
어느날 귀농을 결심한 부모님을 따라 
어쩌다보니 시골과 도시를 오가게 된 현이씨의 인생 제 2막 시작!",#일상#무해한,32397,전체연령가,총 96화,https://image-comic.pstatic.net/webtoon/802039/thumbnail/thumbnail_IMAG21_a7a82a34-586c-4acf-b6f2-ab052be786f1.jpg
/webtoon/list?titleId=730174,칼가는 소녀,오리,9.97,"치사율 100%의 인싸 희귀병 소녀 '사랑'
누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'
두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.
네이버웹툰 최강자전 18년 대표작.",#드라마#최강자전#2018 최강자전#성장드라마#걸크러시#감성드라마,398053,12세 이용가,총 165화,https://image-comic.pstatic.net/webtoon/730174/thumbnail/thumbnail_IMAG21_301ca9ab-3938-4028-832c-48febddd6cf7.jpg
/webtoon/list?titleId=814362,시한부의 아이까지 뺏으려 합니다,랍스타 / 이루이,9.91,"“아이에게 시한부 어머니를 남겨줄 생각이에요?”

부모님의 유품인 마법 거울이 보여준 미래는 참담했다.
아이를 낳고 나는 시한부가 되고, 남편의 정부가 아이를 두고 떠나라고 종용하는 미래.
아직 우린 결혼조차 하지 않았으니 불행한 미래도 피할 수 있을 거야.

“노공작께서 돌아가시면 우리도 헤어지자.”

북부의 차가운 설원을 닮은 네가, 나를 붙들 리 없으니.
그런데 이별을 이야기하는 나를 바라보는 네 눈빛은 왜 이렇게 뜨겁지?.

“아이가 없으면 아무 문제없는 거 아닌가? 그러니까 너도 이혼 같은 거 꿈도 꾸지 마. 그냥 내 옆에 있어.”

조심스럽게 다가온 네 입술에서 따뜻한 온기가 느껴졌다.
하지만 깊은 입맞춤은 그저 이제 이어질 기나긴 밤의 시작을 알리는 행위였을 뿐이다.",#로맨스#소설원작,34267,전체연령가,총 9화,https://image-comic.pstatic.net/webtoon/814362/thumbnail/thumbnail_IMAG21_16247d91-5c88-43aa-80e3-f28b2daf868d.jpg
/webtoon/list?titleId=791256,파견체,곽백수,9.92,"'단 하나의 지성이 온 우주의 종말을 가져올 수 있다.'

빅뱅 38억년 한 지성체의 폭주로 우주 종말의 위기를 겪은
우주의 지성체들은 '전우주관리국'이란 연합기구를 만들어
우주 전체의 지성체들을 감시 통제하고 있다.

이미 지구도 300만년 전부터 
인간을 복제한 '파견체'들이란 존재들을 통해 비밀리에
감시를 받아오고 있었는데....",#판타지#sf#인외존재,20214,12세 이용가,총 91화,https://image-comic.pstatic.net/webtoon/791256/thumbnail/thumbnail_IMAG21_3833187132113172581.jpg
/webtoon/list?titleId=741891,결혼생활 그림일기,은꼼지,9.97,"고르고 골라 결혼했더니 매일매일 우당탕탕?!
결혼생활이란 무엇인가?
조용할 날 없는 결혼생활을 날 것 그대로 그렸다.
모자르고 부족했던 두 짐승이 만나 그려가는 결혼생활 그림일기!",#일상,112310,전체연령가,총 188화,https://image-comic.pstatic.net/webtoon/741891/thumbnail/thumbnail_IMAG21_47b971e4-00b6-451b-862e-1060bae5a80d.jpg
/webtoon/list?titleId=769663,더블클릭,"박수봉, 김장훈 / 박수봉",9.92,"악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호.
서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다!
지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다.
오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다.
강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!",#액션#게임판타지#스포츠성장,167133,전체연령가,총 114화,https://image-comic.pstatic.net/webtoon/769663/thumbnail/thumbnail_IMAG21_935bf47d-9219-4f45-8a58-d5a7af13ce51.jpg
/webtoon/list?titleId=814566,제국 제일의 상속녀가 되었습니다,한강 / 요정용,9.72,"사람들이 기피하는 백색병에 걸려 힘겹게 살던 '에스텔'.
어느 날 주인공 '세리아'의 등장으로 전생을 떠올려 자신이 소설 속 엑스트라에게 빙의된 것임을 깨닫는다.
어렸을 적 하녀의 아이와 바뀌었단 이유로 집에서 쫓겨난 에스텔은 발루아가 형제들의 도움으로 목숨을 건지게 되고, 본래라면 세리아와 이어지는 남주인공 '클로드'와 엮이기 시작하는데...",#로맨스#햇살캐#러블리#다정남#차원이동#역하렘#빙의#로판,22276,12세 이용가,총 9화,https://image-comic.pstatic.net/webtoon/814566/thumbnail/thumbnail_IMAG21_4f97cbfb-8e3e-445d-848c-ae270c22f5b0.jpg
/webtoon/list?titleId=814781,미친 재능의 플레이어,S-Nanyc / H.로마 / 체나,9.34,"세상의 운명이 걸린 게임이 시작되고 6년. 
한 번도 톱 랭커의 자리를 내어주지 않은 최강의 플레이어,
영웅왕 강유성 역시 새로운 시즌을 맞이한다. 

“저는…… X나 예전에 끝났습니다. 돈 때문에 하는 거죠.” 
[도발 수치가 대폭 상승합니다!] 
[어릿광대 군주가 계약자의 행동에 흡족함을 표시합니다!] 

미친 재능의 플레이어가 살아남는 법이 펼쳐진다!",#판타지#요즘핫한추천작#레드아이스 스튜디오#사이다#히어로#헌터물,28830,15세 이용가,총 8화,https://image-comic.pstatic.net/webtoon/814781/thumbnail/thumbnail_IMAG21_c88e92fa-e109-47d6-8a59-912749ff3a40.jpg
/webtoon/list?titleId=798277,아슈타르테,SOON / 안다온,9.87,"무한한 영광을 가져다줄 피렌체 제국의 빛,아슈타르테. 하지만 음모로 인해 예언은 뒤틀리고...
아슈타르테가 어둠으로 알려지게 되면서 모두가 그녀를 외면한다. 가족들의 사랑을 꿈꾸던 어린아이에서 점점 강인한 소녀로 자라는 '아슈타르테'의 성장기.",#로맨스#로판#소설원작,114023,전체연령가,총 60화,https://image-comic.pstatic.net/webtoon/798277/thumbnail/thumbnail_IMAG21_f3e49f1a-befe-435f-bf83-845d8516a82b.jpg
/webtoon/list?titleId=814116,악녀교실,즛호,9.86,"같은 반 여자애에게 약점을 잡혀 괴롭힘 당하는 고등학생 '허정우'. 피폐한 나날을 보내던 정우의 반에 전학생 '한보라'가 온다. 까만 생머리와 다리에 얼룩을 가진 그 아이를 보고 정우는 강한 기시감을 느낀다. 아니나다를까, 시비 거는 반 아이들을
제압한 한보라는 그들에게 묻는다. '나랑 비슷한 애 본 적 있어?' 어쩌면 꼬인 것을 바로잡아줄 보라에게 정우는 접근하기로 하는데...",#드라마#사이다#학원물#복수극,23419,15세 이용가,총 11화,https://image-comic.pstatic.net/webtoon/814116/thumbnail/thumbnail_IMAG21_81d8f011-e821-42a0-9556-1f0f9690b178.jpg
/webtoon/list?titleId=780414,오빠집이 비어서,이서희 / 태소영,9.87,"새엄마와 맞장 뜨고 집을 나온 재벌 3세 차은명.
세상 딱 한 명인 친구 희영에게 신세를 질 수 없게 되자, 
어쩔 수 없이 희영의 둘째 오빠가 잠시 비워둔 집에 머물게 된다.

그렇게 한 달 뒤, 은명은 샤워를 하고 나오던 중 
예고도 없이 집으로 돌아온 희영의 둘째 오빠를 대면하게 되고... 
그런데 그 오빠의 정체가 바로바로 대한민국 탑 스타 영화배우 ‘제준영'이라고?!",#로맨스#계약연애#연예계#소설원작,180326,전체연령가,총 115화,https://image-comic.pstatic.net/webtoon/780414/thumbnail/thumbnail_IMAG21_fc2621b0-84c3-404d-a18d-5925dba6ab77.jpg
/webtoon/list?titleId=801710,인섹터,마카빔,9.94,"어느 날 학교에서 담임교사가 <공벌레 인섹터 내라해치>가 되어 
반 아이들을 무차별적으로 살해한 사건이 벌어진다. 
그때 나타난 검은 개미, 그는 반 아이들을 구하게 되고 이 사건을 시작으로 
언론과 SNS로 퍼져 인섹터의 존재는 더 이상 도시 괴담 수준의 이야기가 아니게 된다. 
결국, 정부는 비밀리에 임무를 수행하던 인섹터 퇴치반 버그리퍼를 내세우고 생존자의 증언에 따라 검은 개미를 뒤쫓게 되는데,
검은 개미의 정체는 몸속에 개미 집이 지어진 채 살아가는 평범한 학생 가미성. 
그저 몸속 개미들에게 먹히지 않기 위해 인섹터의
대항마로 변신하여 내키지 않는 싸움을 한다.",#판타지#힘숨찐#이능력배틀물#다크히어로,76964,15세 이용가,총 51화,https://image-comic.pstatic.net/webtoon/801710/thumbnail/thumbnail_IMAG21_b65d115a-9224-4d45-9773-18addbc432d3.jpg
/webtoon/list?titleId=803518,서브 남주가 파업하면 생기는 일,쓰레빠인간 / 해그늘 / 숙임,9.97,"평범한 한국인 ‘정예서’, 동생이 읽고 있던 대한민국을 휩쓴 
초메가히트 로맨스 판타지 소설 ‘퇴사했더니 이계 공녀’에 서브남주로 빙의한다.
이 서브남주, 훗날 전쟁에 나가 메인 남주 대신 죽을 운명이잖아? 여기서 죽을 수는 없어! 내 목표는 단 하나, 주인공들 근처엔 얼씬도 하지 말고, 
건강하게 버티다가 집으로 돌아가기다.
잠깐? 피하려던 메인 남주 세드리크와 메인 여주 크리스텔이 계속 다가온다?
로맨스는 너희 둘이 하면 되잖아! 나는 판타지만 조금 빌려쓴다니까?",#판타지#로판#소설원작,76767,전체연령가,총 43화,https://image-comic.pstatic.net/webtoon/803518/thumbnail/thumbnail_IMAG21_32d146f5-7e22-4fe4-bc73-92b2e446d7f7.jpg
/webtoon/list?titleId=687915,꿈의 기업,문지현,9.97,문명을 지배하는 거대기업과 거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다. 엄청난 경쟁률을 뚫고 대기업 드림코퍼레이션에 입사한 꿈사원들. 그들 앞에 의심스러운 일들이 펼쳐지는데..!,#스릴러#아포칼립스#sf,118472,12세 이용가,총 355화,https://image-comic.pstatic.net/webtoon/687915/thumbnail/thumbnail_IMAG21_d46ad6b8-e9a8-4bc8-b501-e62adfee0eb6.jpg
/webtoon/list?titleId=808711,쥴리에타의 드레스 업,말차 / 유자차 / 채하빈,9.56,"""모습을 감춰야 해!""

고위 귀족의 사생아로 본부인에게 내쳐져 5살 때부터 극장 소품실에서 자라난 쥴리에타.
그 안에는 빙의된 한국인 여자 예나가 존재했다.

뛰어난 외모는 고아가 된 자신에게 독이 될 것을 알게 된 쥴리에타는
얼굴을 숨기기 위해 커다란 안경과 부스스한 가발로 변장한다.

성인이 되어 극장을 나가고자 하지만 극장주는 지금까지 키워준 빚을 갚으라 독촉하고,
쥴리에타는 인기 초절정인 황자의 시녀가 되어 그 돈을 갚기로 한다.

하지만 특유의 매력은 변장으로도 가릴 수 없는 것.
달라붙는 여자들에게 질린 황자 킬리언의 마음이 이윽고 무덤덤한 시녀에게 닿고 마는데…",#로맨스#소설원작,37854,15세 이용가,총 26화,https://image-comic.pstatic.net/webtoon/808711/thumbnail/thumbnail_IMAG21_d0fb6e8e-bae0-4561-b537-bd84a6b3cb09.jpg
/webtoon/list?titleId=812403,컨트롤X,사이렌 / 서클,9.55,"10년 사귄 전남친 '다니엘'이 절친 '올리비아'와 결혼했다. 그것도 내 생일인 크리스마스에!!!!
세계적인 싱어송라이터 '크리스'는 다니엘과 올리비아의 결혼식에 깜짝 방문해 그곳을 콘서트장으로 만들며 보기좋게 복수한다. 
하지만 다음날 아침, 크리스는 충격적인 소식을 접하게 된다. 
크리스는 과연 잃어버린 사랑, 우정, 명성을 모두 되찾을 수 있을까?",#로맨스#2022 지상최대공모전#전남친#연예계#걸크러시,32582,12세 이용가,총 15화,https://image-comic.pstatic.net/webtoon/812403/thumbnail/thumbnail_IMAG21_bc35a097-4b19-43bf-849e-26f8712bd65f.jpg
/webtoon/list?titleId=808776,엘프,홍작가,9.95,"유원지 관리인 태인에게 자신을 '엘프'라 하는 이상한 손님 제솔이 찾아온다. 
그녀는 아버지의 유품을 달라고 하면서 그의 목걸이를 훔쳐 간다. 
그때, 태인을 납치(?) 하는 정체불명의 사람들. 
그들은 태인이 우리나라의 소수민족 '엘프'이며, 
'엘프' 중에서도 신처럼 모셔지는 강산의 후예라며 
태인에게 '엘프'가 이주할 수 있게 도와달라 부탁하는데...",#판타지#세계관,19535,전체연령가,총 27화,https://image-comic.pstatic.net/webtoon/808776/thumbnail/thumbnail_IMAG21_fb25d2f3-790c-48db-beaf-c2504f4ed4c0.jpg
